timestamp,price
2025-11-22,83811.1247896444
2025-11-22,83989.47324134705
2025-11-22,84424.11447950368
2025-11-22,84087.07644835964
2025-11-22,84589.41913440154
2025-11-22,84475.97663358059
2025-11-22,84547.88982444437
2025-11-22,84585.5004705877
2025-11-22,84392.63644908676
2025-11-22,84388.38816540038
2025-11-22,85095.90189021763
2025-11-22,84675.50764856212
2025-11-22,84926.95123377659
2025-11-22,85803.91615173663
2025-11-22,86048.76826682864
2025-11-22,86218.8691684945
2025-11-22,86493.0061086547
2025-11-22,86205.96710156095
2025-11-23,85877.58507132971
2025-11-23,85644.68716163798
2025-11-23,86100.51796890023
2025-11-23,86351.27694702415
2025-11-23,86026.91718597314
2025-11-23,86243.91516556634
2025-11-23,86586.77250157468
2025-11-23,86934.67772560028
2025-11-23,86513.35909072272
2025-11-23,87226.47681707368
2025-11-23,87096.8864583934
2025-11-23,86838.44324049076
2025-11-23,86981.9427005984
2025-11-23,87381.61979501754
2025-11-23,87459.00743553902
2025-11-23,87856.91104466101
2025-11-23,87854.91896866458
2025-11-23,86783.84766839583
2025-11-23,86628.2459764275
2025-11-23,86848.54665879114
2025-11-23,87498.4558089519
2025-11-23,87280.45777186136
2025-11-23,86752.70249543806
2025-11-23,87387.45679921281
2025-11-24,86844.70882045799
2025-11-24,87075.74513315319
2025-11-24,86764.94391947515
2025-11-24,85953.91955751604
2025-11-24,86001.79035541319
2025-11-24,86268.29336648472
2025-11-24,85957.05408472917
2025-11-24,86269.6656515316
2025-11-24,86192.31160547498
2025-11-24,86425.72745227045
2025-11-24,87219.59492448122
2025-11-24,88428.17629657475
2025-11-24,88599.03241522705
2025-11-24,88356.83122629141
2025-11-24,89111.75024576523
2025-11-24,88749.78735098541
2025-11-24,88631.71085966966
2025-11-24,88229.35740719768
2025-11-24,88139.41175889166
2025-11-24,87829.57652809896
2025-11-24,87759.23926010152
2025-11-24,87710.53378537255
2025-11-24,88416.26556192817
2025-11-24,88100.74473486726
2025-11-25,87851.67691247856
2025-11-25,87385.4867712119
2025-11-25,87126.88420569089
2025-11-25,87035.34816069364
2025-11-25,87349.3248932984
2025-11-25,87368.70154934759
2025-11-25,87488.65596440769
2025-11-25,86898.36528137974
2025-11-25,86396.68263644705
2025-11-25,86910.96082919533
2025-11-25,87078.39643422313
2025-11-25,87515.4235640805
2025-11-25,87228.88735414941
2025-11-25,86826.83681405816
2025-11-25,87340.34991860151
2025-11-25,86978.09855205339
2025-11-25,87594.72411303585
2025-11-25,87310.33159950442
2025-11-25,87519.74766739071
2025-11-25,87884.060172756
2025-11-25,87758.1678796271
2025-11-25,87091.71946980437
2025-11-25,87198.0485583665
2025-11-25,87533.46385277133
2025-11-26,87794.92494380343
2025-11-26,87888.58561715245
2025-11-26,87388.00383293368
2025-11-26,86805.57291021988
2025-11-26,86942.3183287508
2025-11-26,87016.31004378395
2025-11-26,86597.45451490527
2025-11-26,87032.2237573809
2025-11-26,86938.44033179866
2025-11-26,86900.39403850977
2025-11-26,87816.9620054015
2025-11-26,89679.636920768
2025-11-26,90135.4617095681
2025-11-26,89974.73440191097
2025-11-26,89892.71151639915
2025-11-26,90177.58874212035
2025-11-26,90249.96897580565
2025-11-26,90474.22677969698
2025-11-26,90443.99930725468
2025-11-26,90672.63665569115
2025-11-26,91587.21677348937
2025-11-26,91164.97533596179
2025-11-26,91263.33732195737
2025-11-26,90939.97388637412
2025-11-27,91200.42621055408
2025-11-27,91381.43807412974
2025-11-27,91478.05273667352
2025-11-27,91576.58973024273
2025-11-27,91598.34021650812
2025-11-27,91376.7077706091
2025-11-27,90987.79712414106
2025-11-27,90905.09240108743
2025-11-27,90761.6833187102
2025-11-27,90920.42601556465
2025-11-27,91459.50551449621
2025-11-27,91442.5470438727
2025-11-27,91804.82094206505
2025-11-27,91539.36768049354
2025-11-27,91485.68637120655
2025-11-27,91473.72674753252
2025-11-27,91312.76899397155
2025-11-27,91323.62827620257
2025-11-27,91132.0278089504
2025-11-27,90811.0714191063
2025-11-27,91023.52004227442
2025-11-27,91194.97100263558
2025-11-27,91427.07002902139
2025-11-27,91622.80614870525
2025-11-28,91357.40418771433
2025-11-28,90914.78541547488
2025-11-28,91586.77543014655
2025-11-28,91575.0569979346
2025-11-28,91827.76941884054
2025-11-28,91427.29692487956
2025-11-28,91501.38254936752
2025-11-28,92329.75218670673
2025-11-28,92202.8635352892
2025-11-28,92346.3518191028
2025-11-28,90916.07081958275
2025-11-28,90669.96401023648
2025-11-28,90875.03116346477
2025-11-28,91073.47626876217
2025-11-28,91214.6778806227
2025-11-28,91004.2467183952
2025-11-28,91127.20612080491
2025-11-28,90904.86767344689
2025-11-28,90915.53889060777
2025-11-28,90903.54544934392
2025-11-28,90729.94558372116
2025-11-28,90703.32205961774
2025-11-28,90832.40522733841
2025-11-28,90760.43415099659
2025-11-29,90577.3016032145
2025-11-29,90566.64547606678
2025-11-29,90656.69077727084
2025-11-29,90570.83431220289
2025-11-29,90570.90074621874
2025-11-29,90682.38876677728
2025-11-29,90643.83762875079
2025-11-29,90792.77747104311
2025-11-29,90657.75590554604
2025-11-29,91040.54640850973
2025-11-29,91010.85460130044
2025-11-29,90475.97662592627
2025-11-29,90712.0028373462
2025-11-29,90673.14817788692
2025-11-29,90947.02454728537
2025-11-29,91032.09673034618
2025-11-29,90788.7597853794
2025-11-29,90841.45258193677
2025-11-29,90869.67603539713
2025-11-29,90938.30683585707
2025-11-29,90802.75505671403
2025-11-29,90892.89987772267
2025-11-29,90858.18783526495
2025-11-29,90820.86657093189
