entry_time,exit_time,entry_price,exit_price,reason,pnl,pnl_pct,balance
2025-09-27 23:45:00,2025-09-28 01:05:00,109659.99,109547.15900000001,STOP_LOSS,-9.024801078314681,-0.898884569553255,9990.975198921686
2025-09-29 09:40:00,2025-09-29 10:00:00,112078.49,112168.02,SIGNAL_SELL,-7.204380073286188,-0.7175677363830865,9983.7708188484
2025-09-30 20:30:00,2025-09-30 22:20:00,114364.66,114088.89600000001,STOP_LOSS,-10.4016242779893,-1.0360183543814043,9973.36919457041
2025-10-01 05:20:00,2025-10-01 06:20:00,114576.3,114334.69200000001,STOP_LOSS,-10.100273512061221,-1.0060033378547033,9963.268921058348
2025-10-01 15:10:00,2025-10-01 16:35:00,117317.2,117998.476,TAKE_PROFIT,-2.2161004865441782,-0.22072714009404165,9961.052820571804
2025-10-01 18:30:00,2025-10-01 22:00:00,117199.99,117720.93800000001,TAKE_PROFIT,-3.5728306120162188,-0.35585962271077876,9957.479989959787
2025-10-02 13:40:00,2025-10-02 14:10:00,119634.36,119362.255,STOP_LOSS,-10.265374094867184,-1.0224476190106757,9947.21461586492
2025-10-03 18:30:00,2025-10-04 01:30:00,122592.22,121981.174,STOP_LOSS,-12.964440777726395,-1.2912789619249398,9934.250175087192
2025-10-04 16:45:00,2025-10-04 21:10:00,121718.01,122161.2,TAKE_PROFIT,-4.373443502732243,-0.43560194250321144,9929.87673158446
2025-10-05 18:35:00,2025-10-05 19:05:00,123059.41,122845.757,STOP_LOSS,-9.72923296154272,-0.9690471077233787,9920.147498622917
2025-10-06 00:15:00,2025-10-06 00:20:00,124381.47,124148.143,STOP_LOSS,-9.868394801894624,-0.9829078487942853,9910.279103821022
2025-10-06 11:30:00,2025-10-06 12:15:00,124195.47,124650.762,TAKE_PROFIT,-4.348732912722085,-0.4331407283587734,9905.9303709083
2025-10-06 13:00:00,2025-10-06 13:55:00,124606.7,125060.83799999999,TAKE_PROFIT,-4.37000700604392,-0.4352596619565658,9901.560363902256
