entry_time,exit_time,entry_price,exit_price,reason,pnl,pnl_pct,balance,cash_mode
2025-10-10 16:40:00,2025-10-10 16:50:00,118926.56,118546.2,EXIT_TO_CASH,-11.185483209133508,-1.114091953100947,9988.814516790866,True
2025-10-10 19:20:00,2025-10-10 20:50:00,116510.99,115745.74,STOP_LOSS,-14.541777732727041,-1.4483842363273947,9974.272739058139,False
2025-10-10 23:35:00,2025-10-11 00:00:00,114489.68,112504.144,STOP_LOSS,-25.273118904690705,-2.5172429187938947,9948.999620153449,False
2025-10-11 01:20:00,2025-10-11 20:55:00,111473.06,110082.242,STOP_LOSS,-20.426811715763392,-2.034542999578027,9928.572808437686,False
2025-10-12 03:10:00,2025-10-12 14:50:00,110810.91,112613.0092,TAKE_PROFIT,8.197780554279348,0.8165120073983414,9936.770588991965,False
2025-10-13 13:30:00,2025-10-13 14:25:00,115238.71,114280.54,STOP_LOSS,-16.281395374870385,-1.6216529257839027,9920.489193617095,False
2025-10-14 16:55:00,2025-10-15 01:05:00,112398.04,112555.99,EXIT_TO_CASH,-6.600347479368793,-0.6574051274271706,9913.888846137726,True
2025-10-16 08:45:00,2025-10-16 09:30:00,110775.01,110218.012,STOP_LOSS,-13.008079060430532,-1.2956254044253517,9900.880767077297,False
2025-10-16 09:55:00,2025-10-16 11:15:00,111185.99,111392.02,EXIT_TO_CASH,-6.15439085445928,-0.6129871368983346,9894.726376222838,True
2025-10-16 14:45:00,2025-10-16 15:10:00,111111.16,110640.0,EXIT_TO_CASH,-12.223476381670253,-1.2174777272579933,9882.502899841167,True
2025-10-16 15:45:00,2025-10-16 17:40:00,108810.0,108583.99,EXIT_TO_CASH,-10.068798456024183,-1.0028683721139624,9872.434101385143,True
2025-10-17 09:20:00,2025-10-17 10:20:00,104920.66,103794.184,STOP_LOSS,-18.693509705333554,-1.8619033571049357,9853.740591679809,False
2025-10-19 04:50:00,2025-10-19 06:15:00,107097.23,106806.63999999998,STOP_LOSS,-10.702475498199306,-1.0659836153584965,9843.03811618161,False
