timestamp,price,market_cap,volume
2025-02-20 17:00:00,2741.5933625994785,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-21 17:00:00,2658.3470942919384,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-22 17:00:00,2764.355233404291,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-23 17:00:00,2827.1844084879804,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-24 17:00:00,2503.103420098605,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-25 17:00:00,2495.315451693047,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-26 17:00:00,2325.853934699374,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-27 17:00:00,2305.3229378029837,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-02-28 17:00:00,2235.204208608959,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-01 17:00:00,2212.8243514969954,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-02 17:00:00,2517.3382391622977,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-03 17:00:00,2148.199533470228,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-04 17:00:00,2171.496943535016,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-05 17:00:00,2241.3841149187283,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-06 17:00:00,2202.3207363495417,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-07 17:00:00,2140.7498089428914,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-08 17:00:00,2199.9995000805707,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-09 18:00:00,2017.265460184326,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-10 18:00:00,1879.1231054991026,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-11 18:00:00,1921.3099227587034,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-12 18:00:00,1910.6551381032464,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-13 18:00:00,1862.7949366490388,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-14 18:00:00,1910.6662703455045,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-15 18:00:00,1939.7856881721348,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-16 18:00:00,1887.7643429692785,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-17 18:00:00,1929.1833577618722,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-18 18:00:00,1932.7964059050657,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-19 18:00:00,2060.728601068271,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-20 18:00:00,1980.831780524645,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-21 18:00:00,1964.5293833168294,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-22 18:00:00,1979.5449257665966,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-23 18:00:00,2001.0470230951883,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-24 18:00:00,2077.739325831977,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-25 18:00:00,2068.598435049149,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-26 18:00:00,2009.8835432902426,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-27 18:00:00,2003.3034241292064,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-28 18:00:00,1896.9173600459985,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-29 18:00:00,1829.2745211803463,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-30 18:00:00,1805.3378779435934,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-03-31 18:00:00,1824.2071367609847,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-01 18:00:00,1907.1671522994227,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-02 18:00:00,1795.761850567479,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-03 18:00:00,1818.2844199542053,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-04 18:00:00,1814.4807753449506,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-05 18:00:00,1809.935827172196,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-06 18:00:00,1574.6321611455576,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-07 18:00:00,1555.909812570873,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
2025-04-08 18:00:00,1471.3608854365523,"[1740096000000, 330517520397.0965]","[1740096000000, 14550027648.522171]"
