timestamp,price,market_cap,volume
2025-02-20 17:00:00,98384.31738240314,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-21 17:00:00,96135.15541305285,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-22 17:00:00,96564.15414290235,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-23 17:00:00,96327.46309127835,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-24 17:00:00,91396.76686930266,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-25 17:00:00,88755.7693356979,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-26 17:00:00,83900.11496524839,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-27 17:00:00,84709.14477847965,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-02-28 17:00:00,84441.9012237131,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-01 17:00:00,86005.25629681018,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-02 17:00:00,94261.53286538439,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-03 17:00:00,86124.71418722175,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-04 17:00:00,87310.80531078295,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-05 17:00:00,90604.08098523637,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-06 17:00:00,90001.40087607042,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-07 17:00:00,86773.33597555371,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-08 17:00:00,86142.9833586432,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-09 18:00:00,80751.13893300897,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-10 18:00:00,78783.94057934263,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-11 18:00:00,82799.1080292053,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-12 18:00:00,83884.24578828987,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-13 18:00:00,81098.90052436228,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-14 18:00:00,83971.70916064628,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-15 18:00:00,84391.69087647168,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-16 18:00:00,82610.61750343916,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-17 18:00:00,84075.36559694471,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-18 18:00:00,82780.03048688271,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-19 18:00:00,86815.44109470697,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-20 18:00:00,84270.84358966233,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-21 18:00:00,84009.532917822,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-22 18:00:00,83793.30854192551,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-23 18:00:00,85787.70914901773,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-24 18:00:00,87327.72969669085,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-25 18:00:00,87520.58391530563,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-26 18:00:00,86960.8555491039,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-27 18:00:00,87227.27158032371,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-28 18:00:00,84359.46915506005,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-29 18:00:00,82679.17255385047,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-30 18:00:00,82356.38111183756,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-03-31 18:00:00,82514.09365397849,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-01 18:00:00,85237.5876052852,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-02 18:00:00,82526.4221526433,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-03 18:00:00,83163.98757387721,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-04 18:00:00,83852.00765399594,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-05 18:00:00,83595.88550177493,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-06 18:00:00,78211.48358199988,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-07 18:00:00,79179.29226757778,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
2025-04-08 18:00:00,76329.090356324,"[1740096000000, 1950376106325.3228]","[1740096000000, 24175261969.81266]"
